Date,Open,High,Low,Close,Adj Close,Volume
2023-09-25,5.280000,5.420000,5.180000,5.400000,5.400000,13017700
2023-09-26,5.300000,5.420000,5.160000,5.170000,5.170000,8744500
2023-09-27,5.240000,5.330000,5.100000,5.280000,5.280000,9792600
2023-09-28,5.240000,5.680000,5.220000,5.600000,5.600000,11627900
2023-09-29,5.710000,5.770000,5.110000,5.150000,5.150000,20281900
2023-10-02,5.020000,5.120000,4.820000,4.850000,4.850000,14052300
2023-10-03,4.800000,5.150000,4.750000,4.880000,4.880000,10681100
2023-10-04,4.860000,4.960000,4.620000,4.930000,4.930000,10801400
2023-10-05,4.920000,5.180000,4.880000,5.180000,5.180000,7629800
2023-10-06,5.140000,5.480000,5.110000,5.310000,5.310000,9918400
2023-10-09,5.290000,5.360000,5.090000,5.290000,5.290000,6552900
2023-10-10,5.340000,5.540000,5.300000,5.390000,5.390000,7522500
2023-10-11,5.400000,5.450000,5.140000,5.290000,5.290000,4802500
2023-10-12,5.240000,5.310000,5.030000,5.110000,5.110000,6005300
2023-10-13,5.160000,5.210000,5.050000,5.150000,5.150000,4066400
2023-10-16,5.230000,5.380000,4.970000,5.020000,5.020000,5483400
2023-10-17,4.950000,5.260000,4.930000,5.130000,5.130000,7340400
2023-10-18,5.160000,5.340000,5.090000,5.270000,5.270000,6661600
2023-10-19,5.230000,5.490000,5.170000,5.340000,5.340000,7706700
2023-10-20,5.370000,5.490000,5.230000,5.320000,5.320000,5953100
2023-10-23,5.300000,5.640000,5.170000,5.610000,5.610000,11886000
2023-10-24,5.650000,5.830000,5.610000,5.770000,5.770000,9905200
2023-10-25,5.760000,5.970000,5.690000,5.750000,5.750000,8193700
2023-10-26,5.650000,5.830000,5.520000,5.630000,5.630000,6754000
2023-10-27,5.640000,5.690000,5.470000,5.500000,5.500000,6236600
2023-10-30,5.530000,5.750000,5.530000,5.720000,5.720000,7718300
2023-10-31,5.780000,5.980000,5.700000,5.950000,5.950000,9109300
2023-11-01,5.990000,6.030000,5.780000,5.800000,5.800000,6458500
