Date,Open,High,Low,Close,Adj Close,Volume
2023-11-02,195.929993,200.490005,195.220001,200.460007,198.574982,128500
2023-11-03,202.279999,205.449997,202.279999,204.759995,202.834534,104500
2023-11-06,204.949997,204.949997,200.699997,202.240005,200.338242,131300
2023-11-07,202.210007,202.210007,198.649994,200.119995,198.238174,129100
2023-11-08,205.000000,207.160004,202.000000,203.619995,201.705261,147800
2023-11-09,203.830002,204.149994,201.199997,201.929993,200.031143,105700
2023-11-10,202.309998,205.949997,202.000000,205.509995,203.577484,128200
2023-11-13,205.500000,207.259995,205.500000,206.110001,204.171860,102000
2023-11-14,207.919998,209.190002,206.990005,207.320007,205.370483,97100
2023-11-15,206.639999,209.240005,205.339996,205.350006,203.419006,136100
2023-11-16,205.619995,205.619995,202.919998,204.149994,202.230286,100900
2023-11-17,207.320007,210.649994,204.410004,209.559998,207.589401,178300
2023-11-20,208.360001,209.149994,205.210007,207.889999,206.575851,150200
2023-11-21,207.820007,210.270004,206.800003,209.210007,207.887527,110900
2023-11-22,209.300003,211.779999,208.490005,210.479996,209.149490,85400
2023-11-24,210.369995,213.399994,210.369995,211.970001,210.630081,26200
2023-11-27,211.130005,214.979996,211.130005,214.339996,212.985077,128700
2023-11-28,214.009995,214.009995,210.440002,210.759995,209.427719,105600
2023-11-29,211.240005,211.899994,207.320007,207.669998,206.357239,118300
2023-11-30,208.110001,211.830002,207.699997,209.509995,208.185608,247500
2023-12-01,208.339996,212.559998,208.339996,210.229996,208.901062,118600
2023-12-04,210.199997,213.350006,209.279999,212.639999,211.295837,201900
2023-12-05,212.369995,215.059998,210.979996,212.419998,211.077225,126700
2023-12-06,212.279999,213.990005,211.479996,211.960007,210.620148,105300
2023-12-07,211.960007,211.960007,208.080002,208.240005,206.923660,130400
2023-12-08,207.639999,211.529999,207.470001,211.460007,210.123291,73000
2023-12-11,211.289993,214.580002,211.289993,212.550003,211.206406,71400
2023-12-12,212.899994,215.639999,212.899994,214.449997,213.094391,80900
2023-12-13,214.119995,215.929993,211.119995,212.820007,211.474701,182100
2023-12-14,214.139999,214.139999,207.369995,208.669998,207.350937,187500
2023-12-15,207.880005,208.860001,206.039993,206.699997,205.393387,460500
2023-12-18,208.279999,208.580002,206.630005,207.949997,206.635468,162100
2023-12-19,208.210007,208.229996,206.580002,206.899994,205.592117,151100
2023-12-20,205.389999,205.800003,201.259995,201.500000,200.226257,256900
2023-12-21,201.770004,204.419998,200.880005,204.229996,202.938995,112600
2023-12-22,205.339996,207.259995,205.320007,205.669998,204.369888,74400
2023-12-26,205.580002,206.740005,205.240005,206.080002,204.777298,47300
2023-12-27,205.679993,206.389999,204.710007,206.050003,204.747498,61000
2023-12-28,204.940002,207.169998,204.940002,206.350006,205.045593,54600
2023-12-29,207.139999,207.220001,205.199997,205.759995,204.459320,74900
2024-01-02,205.199997,207.960007,203.210007,207.949997,206.635468,143900
2024-01-03,206.580002,209.380005,205.779999,206.009995,204.707733,128600
2024-01-04,205.899994,208.429993,205.490005,207.500000,206.188324,150000
2024-01-05,207.250000,210.149994,207.250000,207.929993,206.615601,159700
2024-01-08,209.070007,211.809998,208.229996,211.639999,210.302170,137300
2024-01-09,210.660004,210.750000,207.619995,209.160004,207.837830,108900
2024-01-10,209.330002,213.089996,209.330002,213.050003,211.703247,107700
